step,size,zdd,time
0,IS,8.79607343673706,2022benchmark-main/benchmark/square/hc-square-006-002.col,2022benchmark-main/benchmark/square/hc-square-006-002_01.dat
1,7,90,0.151
2,21,188,0.427
3,36,277,0.825
4,41,317,1.133
5,36,310,1.194
6,28,271,1.062
7,21,225,0.972
8,17,190,0.815
9,16,156,0.694
10,17,154,0.661
11,22,191,0.635
12,32,268,0.828
13,43,362,1.175
14,50,436,1.455
15,49,459,1.866
16,39,401,1.75
17,25,287,1.366
18,14,189,0.938
19,10,139,0.659
20,13,143,0.509
21,21,208,1.497
22,34,348,0.978
23,51,521,1.607
24,66,671,2.329
25,74,765,2.839
26,74,782,3.335
27,66,736,3.555
28,54,613,3.316
29,46,486,2.713
30,45,424,2.139
31,48,425,1.734
32,51,443,1.7
33,50,459,1.77
34,44,450,1.757
35,38,415,1.624
36,38,408,1.552
37,47,488,1.622
38,65,624,1.987
39,87,813,2.603
40,105,1030,3.475
41,115,1188,20.983
42,115,1245,6.891
43,105,1188,6.737
44,92,1076,6.324
45,84,961,5.294
46,82,896,4.533
47,85,898,4.075
48,93,958,4.072
49,101,1039,4.497
50,103,1078,4.785
51,98,1038,5.328
52,88,970,5.207
53,76,868,4.955
54,69,799,4.377
55,75,812,4.2
56,96,895,4.134
57,128,1074,4.698
58,164,1325,6.094
59,192,1535,7.95
60,203,1630,9.139
61,196,1620,10.493
62,177,1504,10.035
63,154,1357,10.979
64,139,1219,9.041
65,137,1110,7.299
66,145,1067,7.396
67,157,1142,6.296
68,168,1269,6.705
69,172,1358,7.26
70,169,1395,7.924
71,167,1435,7.928
72,171,1497,6.411
73,178,1565,6.46
74,185,1651,7.786
75,190,1689,7.237
76,189,1693,7.783
77,184,1654,7.754
78,184,1633,7.286
79,195,1702,7.186
80,219,1877,14.444
81,259,2118,8.889
82,313,2455,11.741
83,370,2828,11.731
84,414,3192,14.783
85,433,3444,15.823
86,422,3522,20.69
87,389,3375,17.297
88,353,3144,16.91
89,334,2919,15.235
90,339,2811,14.522
91,363,2864,28.397
92,393,3078,14.999
93,414,3293,14.711
94,419,3410,23.283
95,414,3386,19.287
96,408,3338,16.408
97,408,3300,15.922
98,421,3294,27.315
99,448,3362,18.238
100,481,3490,16.855
101,511,3637,20.427
102,531,3788,19.069
103,535,3910,29.987
104,526,3952,20.803
105,520,3948,21.252
106,534,3968,20.92
107,571,4108,21.722
108,622,4397,23.142
109,670,4758,24.826
110,694,5065,27.628
111,681,5180,29.228
112,643,5031,30.702
113,604,4769,28.962
114,582,4499,29.915
115,585,4388,25.181
116,610,4455,24.107
117,637,4686,26.822
118,645,4922,26.083
119,630,5014,31.495
120,601,4981,27.448
121,569,4879,27.845
122,547,4762,28.809
123,547,4752,24.085
124,569,4926,37.964
125,601,5188,70.108
126,630,5488,26.343
127,645,5710,28.073
128,637,5788,28.901
129,609,5653,28.843
130,580,5416,34.407
131,567,5193,30.181
132,570,5107,25.685
133,579,5085,25.535
134,582,5113,25.592
135,565,5073,68.707
136,526,4855,45.04
137,483,4523,24.049
138,455,4243,22.482
139,446,4139,21.109
140,453,4139,20.9
141,468,4159,20.862
142,475,4177,21.159
143,462,4083,20.613
144,433,3837,21.077
145,399,3518,18.825
146,367,3200,17.025
147,344,2927,16.23
148,338,2780,14.711
149,347,2740,13.705
150,358,2812,13.874
151,360,2852,13.818
152,348,2814,13.909
153,319,2668,14.003
154,278,2410,12.864
155,242,2108,11.237
156,224,1854,9.659
157,220,1738,8.685
158,221,1754,8.276
159,222,1794,7.96
160,215,1774,7.986
161,195,1699,7.86
162,172,1558,7.341
163,158,1422,7.336
164,152,1336,6.365
165,148,1310,5.542
166,143,1282,5.669
167,133,1208,5.32
168,115,1086,4.968
169,94,949,5.18
170,78,818,4.578
171,68,715,3.135
172,61,638,2.935
173,58,581,2.325
174,60,565,2.157
175,62,561,2.144
176,59,526,2.075
177,52,473,1.99
178,43,414,1.813
179,32,345,1.52
180,23,257,1.308
181,22,194,0.929
182,27,191,0.698
183
184,Perfect!
