step,size,zdd,time
0,IS,0.0010876655578613281,2022benchmark-main/benchmark/sp/sp002.col,2022benchmark-main/benchmark/sp/sp002_01.dat
1,2,6,0.043
2,3,9,0.038
3,3,11,0.044
4,3,11,0.058
5,4,13,0.036
6,4,15,0.043
7,4,15,0.042
8,4,14,0.065
9,4,15,0.068
10,4,16,0.051
11,4,14,0.056
12,3,12,0.043
13,2,8,0.043
14,2,8,0.038
15,2,7,0.044
16,1,4,0.037
17,1,4,0.029
18,1,4,0.029
19,1,4,0.04
20,2,7,0.029
21,2,8,0.04
22,2,8,0.05
23,2,7,0.038
24,2,8,0.031
25,2,8,0.029
26,2,7,0.029
27,2,8,0.027
28,2,8,0.038
29,2,7,0.035
30,2,7,0.04
31,1,4,0.04
32,1,4,0.034
33,1,4,0.035
34
35,Perfect!
