step,size,zdd,time
0,IS,112.04364562034607,2022benchmark-main/benchmark/sp/sp008.col,2022benchmark-main/benchmark/sp/sp008_01.dat
1,8,62,0.23
2,36,194,0.718
3,113,502,2.316
4,274,1073,7.161
5,553,2041,14.333
6,988,3486,28.845
7,1637,5574,51.942
8,2559,8447,139.09
9,3765,12078,141.53
10,5226,16452,199.71
11,6947,21517,274.479
12,8957,27307,369.18
13,11175,33608,471.828
14,13424,39965,591.082
15,15635,46294,784.828
16,17831,52508,1069.28
17,19872,58254,939.083
18,21510,62905,1043.24
19,22708,66563,1136.28
20,23563,69411,1319.56
21,24003,70882,1263.71
22,23904,70964,1559.83
23,23341,70154,1307.38
24,22477,68543,1486.09
25,21396,65871,1298.02
26,20143,62763,1608.03
27,18781,59679,1086.27
28,17427,56233,1292.69
29,16237,52661,987.576
30,15258,49757,915.713
31,14424,47339,1311.99
32,13750,44910,830.517
33,13308,42811,804.946
34,13057,41498,882.966
35,12893,40521,963.269
36,12761,39529,731.609
37,12624,38699,1100.99
38,12437,38101,722.222
39,12169,37451,722.751
40,11780,36499,710.763
41,11222,35307,695.283
42,10507,33987,739.135
43,9715,32482,648.447
44,8890,30616,611.493
45,7994,28486,600.874
46,7054,26357,506.245
47,6220,24386,490.988
48,5554,22387,671.504
49,4978,20378,374.689
50,4500,18745,340.927
51,4229,17600,309.322
52,4155,16635,290.697
53,4169,15802,294.956
54,4256,15361,496.818
55,4459,15270,282.955
56,4731,15350,269.406
57,4976,15528,269.65
58,5178,15711,272.757
59,5368,15924,279.949
60,5518,16145,300.052
61,5580,16415,707.947
62,5570,16567,293.983
63,5535,16486,294.933
64,5487,16305,301.465
65,5414,16254,292.339
66,5331,16172,285.5
67,5280,15859,283.74
68,5277,15480,279.635
69,5304,15315,281.654
70,5356,15210,577.487
71,5438,15045,262.449
72,5529,14846,382.581
73,5608,14753,267.273
74,5674,14805,260.923
75,5711,14824,266.918
76,5699,14761,271.468
77,5654,14817,272.286
78,5609,15078,268.23
79,5576,15366,269.771
80,5550,15679,268.648
81,5549,16159,275.109
82,5623,16869,320.362
83,5797,17824,298.345
84,6040,19021,309.574
85,6328,20252,334.222
86,6682,21566,348.058
87,7098,23215,385.233
88,7518,24930,408.948
89,7904,26402,448.28
90,8265,27778,860.83
91,8590,29456,562.892
92,8830,30831,546.492
93,8973,31509,553.074
94,9059,32075,1118.52
95,9095,32746,575.568
96,9038,32964,594.531
97,8896,32335,593.372
98,8741,31635,606.121
99,8583,31039,580.875
100,8356,29900,1015.22
101,8055,28303,762.773
102,7746,26827,494.311
103,7433,25395,464.46
104,7053,23536,431.815
105,6592,21501,396.694
106,6099,19713,1188.95
107,5605,17986,333.466
108,5107,16129,297.26
109,4604,14373,257.719
110,4109,12859,227.053
111,3659,11414,203.62
112,3296,10127,172.899
113,3015,9161,155.184
114,2787,8381,140.702
115,2622,7721,127.355
116,2540,7282,118.397
117,2522,7029,113.909
118,2534,6873,234.936
119,2555,6794,111.008
120,2576,6790,111.194
121,2595,6828,110.322
122,2602,6864,113.398
123,2571,6850,113.945
124,2485,6819,112.24
125,2359,6794,110.318
126,2221,6728,107.244
127,2078,6580,105.407
128,1920,6451,100.366
129,1764,6387,95.561
130,1653,6297,92.41
131,1596,6164,89.746
132,1572,6103,87.216
133,1587,6148,86.846
134,1663,6212,87.387
135,1786,6296,89.786
136,1919,6462,93.801
137,2057,6592,532.577
138,2211,6691,101.356
139,2356,6934,107.764
140,2457,7186,114.585
141,2519,7277,115.089
142,2561,7269,117.669
143,2574,7325,124.919
144,2544,7408,121.473
145,2486,7423,118.613
146,2430,7351,121.147
147,2389,7224,118.016
148,2356,7167,115.319
149,2333,7201,110.818
150,2336,7190,110.858
151,2366,7130,107.462
152,2412,7113,108.26
153,2469,7188,108.329
154,2526,7249,107.804
155,2568,7260,107.964
156,2595,7290,109.362
157,2609,7335,135.15
158,2597,7368,111.564
159,2552,7407,112.585
160,2494,7495,112.004
161,2456,7644,114.304
162,2457,7833,112.442
163,2499,8163,117.145
164,2600,8667,121.65
165,2800,9334,128.212
166,3116,10266,147.089
167,3537,11444,154.421
168,4064,12861,177.822
169,4701,14578,198.036
170,5413,16528,231.295
171,6150,18538,268.105
172,6894,20546,300.332
173,7624,22596,334.06
174,8272,24553,366.956
175,8785,26190,396.275
176,9189,27512,427.235
177,9509,28555,463.436
178,9704,29246,959.007
179,9756,29590,476.855
180,9724,29526,498.421
181,9667,29227,573.668
182,9595,28847,508.499
183,9509,28411,508.861
184,9430,27893,492.374
185,9394,27364,498.542
186,9429,26988,579.029
187,9520,26715,499.641
188,9620,26459,489.679
189,9703,26235,496.071
190,9784,26014,485.806
191,9868,25818,480.823
192,9897,25557,748.615
193,9812,25154,492.392
194,9632,24696,486.592
195,9398,24174,710.985
196,9105,23540,474.258
197,8725,22817,879.635
198,8253,22054,441.982
199,7736,21130,422.164
200,7238,20137,438.635
201,6753,19188,385.62
202,6238,18112,354.852
203,5734,16916,331.47
204,5309,15779,304.592
205,4936,14651,278.136
206,4571,13418,263.551
207,4235,12302,239.564
208,3944,11315,240.435
209,3678,10309,209.938
210,3423,9339,181.005
211,3170,8524,163.175
212,2902,7763,149.115
213,2620,7020,168.426
214,2345,6373,118.635
215,2079,5765,5025.88
216,1802,5172,130.81
217,1523,4617,81.762
218,1284,4136,68.703
219,1092,3676,58.879
220,923,3200,50.836
221,790,2867,43.041
222,723,2677,37.761
223,710,2472,34.318
224,722,2277,31.632
225,759,2203,30.755
226,828,2214,30.872
227,911,2225,31.564
228,986,2248,32.76
229,1055,2295,34.329
230,1123,2336,35.758
231,1173,2388,36.514
232,1190,2431,37.898
233,1183,2425,38.73
234,1167,2399,38.571
235,1144,2399,37.817
236,1109,2394,37.369
237,1068,2357,36.28
238,1038,2289,35.751
239,1026,2239,34.151
240,1026,2219,33.68
241,1036,2181,32.86
242,1058,2140,32.953
243,1090,2117,32.584
244,1130,2127,32.281
245,1171,2167,33.983
246,1196,2192,34.278
247,1197,2168,34.786
248,1184,2144,34.421
249,1167,2188,33.619
250,1144,2253,35.012
251,1110,2276,34.484
252,1075,2294,34.15
253,1062,2383,33.725
254,1081,2541,34.703
255,1124,2723,36.06
256,1191,2951,39.138
257,1295,3286,42.398
258,1437,3700,68.668
259,1606,4165,54.643
260,1799,4690,61.521
261,2016,5327,70.609
262,2246,5998,81.129
263,2472,6650,91.969
264,2688,7313,102.568
265,2899,7974,113.488
266,3094,8548,124.981
267,3241,9049,132.681
268,3332,9400,140.772
269,3395,9587,145.439
270,3432,9666,146.694
271,3404,9590,146.542
272,3304,9326,145.157
273,3173,8829,138.681
274,3028,8338,130.923
275,2845,7840,122.107
276,2613,7187,324.643
277,2353,6422,238.827
278,2096,5709,90.642
279,1863,5085,80.812
280,1652,4494,74.084
281,1456,3966,61.383
282,1295,3545,319.81
283,1192,3238,48.424
284,1135,2993,44.247
285,1101,2813,41.199
286,1087,2723,39.089
287,1098,2700,37.77
288,1131,2710,37.815
289,1171,2742,39.71
290,1196,2765,66.823
291,1197,2773,41.101
292,1183,2788,40.73
293,1160,2827,41.212
294,1119,2837,41.548
295,1049,2796,40.968
296,959,2761,39.451
297,872,2703,37.435
298,795,2626,36.049
299,723,2583,33.956
300,668,2594,273.56
301,650,2578,33.533
302,666,2552,32.27
303,700,2588,32.123
304,752,2638,34.82
305,827,2683,35.614
306,911,2803,37.585
307,986,2948,40.13
308,1055,2991,43.455
309,1123,3001,45.299
310,1173,3111,46.689
311,1190,3204,48.114
312,1183,3215,49.645
313,1167,3180,55.438
314,1144,3164,48.966
315,1109,3157,47.975
316,1068,3140,47.091
317,1038,3063,45.057
318,1026,2974,43.444
319,1026,2939,42.191
320,1036,2929,41.166
321,1058,2884,39.719
322,1090,2831,38.811
323,1130,2842,38.925
324,1171,2891,40.388
325,1196,2893,41.128
326,1197,2846,51.494
327,1184,2820,40.054
328,1167,2878,39.974
329,1144,2948,40.541
330,1110,2981,41.108
331,1075,3020,40.817
332,1063,3108,40.508
333,1088,3285,41.911
334,1150,3523,44.478
335,1258,3835,47.719
336,1429,4272,545.659
337,1665,4856,63.333
338,1961,5542,71.065
339,2324,6332,82.968
340,2757,7350,98.015
341,3240,8526,116.614
342,3758,9792,138.432
343,4330,11166,163.192
344,4966,12705,191.8
