step,size,zdd,time
0,IS,187.26297664642334,2022benchmark-main/benchmark/power/hc-power-005-002.col,2022benchmark-main/benchmark/power/hc-power-005-002_01.dat
1,6,102,0.274
2,15,166,0.654
3,22,226,0.865
4,25,288,1.098
5,27,310,1.548
6,26,287,1.669
7,20,232,1.629
8,13,176,1.224
9,9,137,0.943
10,8,116,0.697
11,8,100,0.586
12,8,104,0.522
13,9,116,0.502
14,12,149,0.593
15,17,198,0.797
16,28,244,1.146
17,48,309,1.568
18,68,421,2.013
19,75,517,2.565
20,65,518,3.139
21,44,430,2.869
22,23,289,2.189
23,10,167,1.359
24,5,105,0.682
25,4,81,0.493
26,4,66,0.429
27,5,86,0.347
28,7,109,0.838
29,9,150,0.609
30,13,202,0.878
31,19,267,1.132
32,24,339,1.882
33,26,351,1.776
34,23,315,2.523
35,16,238,1.482
36,9,164,1.156
37,5,102,0.778
38,4,70,0.469
39,4,67,0.387
40,4,63,0.349
41,5,84,0.318
42,7,99,0.514
43,10,155,0.608
44,18,235,0.892
45,33,377,1.439
46,57,590,2.261
47,96,862,3.31
48,144,1191,5.094
49,178,1506,6.611
50,179,1656,8.558
51,147,1562,8.511
52,100,1266,7.834
53,60,894,5.955
54,37,600,3.967
55,29,429,2.726
56,31,423,5.211
57,39,502,2.252
58,51,642,2.629
59,66,759,3.705
60,77,849,4.019
61,77,901,4.298
62,66,859,4.074
63,48,732,3.859
64,31,573,3.145
65,19,391,2.239
66,11,226,1.463
67,6,135,0.933
68,3,90,0.674
69,2,47,0.361
70,2,62,0.23
71,2,49,0.262
72,2,58,0.174
73,3,68,0.242
74,4,77,0.331
75,6,119,0.412
76,12,201,0.65
77,20,279,1.051
78,30,355,1.428
79,43,457,1.824
80,55,547,2.512
81,62,619,2.974
82,62,670,3.159
83,53,644,3.273
84,38,550,3.062
85,24,394,2.627
86,15,279,1.778
87,12,213,1.282
88,13,222,1.09
89,16,265,1.243
90,21,321,1.709
91,26,363,1.926
92,28,396,1.962
93,27,397,1.956
94,24,370,1.74
95,20,350,1.494
96,17,330,1.452
97,14,271,1.368
98,10,202,1.082
99,6,142,0.899
100,3,88,0.567
101,2,45,0.342
102,2,60,0.243
103,2,48,0.26
104,2,56,0.188
105,3,65,0.227
106,4,72,0.324
107,6,114,0.409
108,12,212,0.661
109,21,360,1.085
110,36,572,2.021
111,63,885,2.849
112,106,1317,4.64
113,175,1855,7.26
114,276,2491,11.164
115,383,3220,15.53
116,445,3860,19.475
117,427,4112,23.428
118,340,3786,23.289
119,231,3008,20.773
120,147,2197,15.899
121,104,1685,10.986
122,96,1519,11.185
123,110,1596,8.38
124,133,1838,8.499
125,159,2133,9.883
126,185,2359,11.799
127,202,2399,13.565
128,201,2341,18.043
129,181,2195,11.738
130,145,1894,11.157
131,103,1471,9.174
132,66,1031,6.965
133,38,648,4.53
134,22,404,2.683
135,15,277,1.692
136,13,200,1.082
137,14,217,0.931
138,17,260,1.015
139,23,325,1.148
140,36,467,1.56
141,62,642,2.379
142,101,843,3.756
143,151,1155,4.859
144,197,1431,6.602
145,217,1554,8.013
146,202,1540,8.732
147,161,1417,8.335
148,115,1195,7.386
149,81,1002,7.623
150,61,864,100.236
151,49,731,4.459
152,44,648,3.499
153,46,641,3.221
154,55,724,3.128
155,69,799,3.628
