step,size,zdd,time
0,IS,0.8820745944976807,2022benchmark-main/benchmark/square/hc-square-005-002.col,2022benchmark-main/benchmark/square/hc-square-005-002_01.dat
1,6,90,0.143
2,15,189,0.363
3,21,245,0.657
4,20,227,0.797
5,16,187,2.381
6,12,146,0.653
7,9,110,0.524
8,8,108,0.379
9,8,118,0.336
10,9,125,0.36
11,13,164,0.379
12,19,227,0.527
13,24,268,0.699
14,26,286,6.12
15,23,271,1.644
16,16,212,0.839
17,9,136,0.716
18,5,91,0.462
19,5,82,0.208
20,8,100,0.236
21,13,149,0.306
22,21,227,0.502
23,30,309,0.771
24,36,356,0.945
25,38,394,1.052
26,36,413,1.201
27,30,381,1.162
28,24,321,1.091
29,22,267,0.904
30,23,237,0.915
31,25,233,0.629
32,26,243,0.645
33,24,246,0.705
34,20,246,0.638
35,18,219,0.587
36,20,202,0.549
37,27,216,0.708
38,38,294,0.847
39,49,360,1.102
40,56,431,1.255
41,59,474,1.486
42,56,479,6.598
43,49,441,1.616
44,43,422,1.37
45,41,406,4.009
46,41,387,1.147
47,44,409,1.174
48,49,464,1.13
49,52,506,1.311
50,51,503,1.422
51,47,476,1.447
52,41,450,1.486
53,35,420,1.46
54,34,402,1.425
55,41,433,1.426
56,55,513,1.816
57,74,642,2.379
58,95,789,2.885
59,112,928,3.246
60,122,1033,10.011
61,124,1090,4.001
62,118,1071,4.176
63,107,1027,4.971
64,98,981,3.876
65,94,910,3.411
66,96,852,3.076
67,103,886,2.939
68,111,997,3.147
69,115,1054,3.198
70,116,1086,7.061
71,118,1106,3.877
72,121,1085,3.701
73,124,1012,3.639
74,128,990,3.546
75,131,1007,3.659
76,131,1029,3.896
77,133,1030,3.89
78,141,1095,3.563
79,153,1179,4.233
80,166,1256,3.993
81,178,1330,4.785
82,183,1377,5.469
83,178,1386,6.004
84,166,1360,4.673
85,153,1344,4.449
86,141,1282,4.567
87,133,1239,4.051
88,132,1254,3.733
89,136,1301,3.751
90,140,1307,11.639
91,144,1329,4.519
92,148,1374,11.189
93,148,1409,4.691
94,144,1421,4.584
95,140,1408,5.181
96,136,1382,4.511
97,132,1366,8.07
98,132,1362,4.791
99,136,1350,16.113
100,138,1324,10.206
101,135,1291,16.527
102,128,1285,4.413
103,118,1253,3.801
104,107,1184,13.791
105,100,1116,3.957
106,98,1051,3.262
107,96,965,3.064
108,91,928,3.03
109,86,948,6.218
110,82,948,3.1
111,78,850,2.809
112,77,783,2.502
113,80,812,2.369
114,81,843,2.512
115,77,763,2.541
116,71,670,2.195
117,63,590,1.863
118,52,491,1.626
119,42,403,1.35
120,36,346,1.11
121,32,298,0.964
122,29,244,0.798
123,29,247,1.448
124,31,298,0.733
125,31,307,0.837
126,28,284,0.857
127,24,268,0.789
128,19,241,0.773
129,13,183,0.615
130,10,128,0.451
131,12,113,0.447
132,15,124,0.318
133
134,Perfect!
