step,size,zdd,time
0,IS,0.0008068084716796875,2022benchmark-main/benchmark/handcrafted/hc-square-02.col,2022benchmark-main/benchmark/handcrafted/hc-square-02_01.dat
1,3,22,0.053
2,3,22,0.068
3,2,18,0.043
4,2,14,0.034
5,1,10,0.039
6,1,10,0.031
7,1,10,0.03
8,1,10,0.033
9,1,10,0.032
10,2,14,0.051
11,3,23,0.043
12,4,27,0.047
13,5,34,0.058
14,4,31,0.051
15,3,27,0.047
16,2,20,0.046
17,1,10,0.047
18,1,10,0.03
19,2,18,0.039
20,3,22,0.037
21,4,25,0.044
22,5,35,0.045
23,4,29,0.049
24,3,26,0.058
25,2,19,0.036
26,1,10,0.031
27,1,10,0.04
28,2,16,0.033
29,2,15,0.077
30,2,14,0.041
31
32,Perfect!
