step,size,zdd,time
0,IS,19.63047957420349,2022benchmark-main/benchmark/sp/sp007.col,2022benchmark-main/benchmark/sp/sp007_01.dat
1,7,68,0.18
2,28,195,0.551
3,78,433,1.438
4,168,837,3.388
5,305,1437,7.958
6,501,2245,13.993
7,778,3304,22.938
8,1142,4628,80.205
9,1567,6183,78.111
10,2035,7927,117.037
11,2564,9773,97.288
12,3149,11662,121.864
13,3716,13547,175.576
14,4216,15294,203.112
15,4682,16778,248.981
16,5110,17946,287.42
17,5413,18747,251.419
18,5558,19091,260.638
19,5600,18987,332.504
20,5557,18595,236.381
21,5399,17959,261.117
22,5133,16969,347.678
23,4801,15753,286.049
24,4451,14677,218.136
25,4120,13748,242.687
26,3802,12756,218.449
27,3493,11798,647.755
28,3243,11288,200.443
29,3082,11131,147.659
30,2974,10907,140.208
31,2895,10686,205.383
32,2857,10787,145.559
33,2854,11073,138.786
34,2864,11179,167.216
35,2867,11074,144.143
36,2840,10891,139.766
37,2774,10673,137.455
38,2679,10377,163.379
39,2559,9886,129.61
40,2397,9136,121.844
41,2181,8247,111.845
42,1944,7476,152.078
43,1729,6802,94.89
44,1524,6038,79.924
45,1307,5239,165.652
46,1121,4679,58.726
47,1005,4385,53.095
48,927,4219,64.461
49,866,4130,46.216
50,850,4158,44.564
51,887,4323,45.027
52,943,4610,47.393
53,998,4926,50.776
54,1066,5180,112.005
55,1146,5431,58.012
56,1210,5651,61.449
57,1247,5754,65.004
58,1272,5739,66.03
59,1289,5690,68.036
60,1285,5588,67.186
61,1259,5381,65.814
62,1227,5169,65.197
63,1203,5076,61.719
64,1186,5042,60.33
65,1170,4999,59.444
66,1163,5048,59.06
67,1173,5245,60.189
68,1193,5445,61.914
69,1219,5607,123.232
70,1250,5803,65.547
71,1276,5995,67.808
72,1292,6093,69.234
73,1303,6148,125.992
74,1306,6147,71.505
75,1291,6048,127.85
76,1261,5856,68.741
77,1233,5684,66.584
78,1222,5586,92.044
79,1227,5514,62.67
80,1239,5464,60.873
81,1268,5502,60.136
82,1330,5659,60.918
83,1416,5898,63.872
84,1508,6178,65.437
85,1606,6487,83.589
86,1715,6797,75.879
87,1821,7069,83.811
88,1908,7282,85.786
89,1979,7414,89.781
90,2038,7484,95.4
91,2072,7495,97.124
92,2073,7504,99.882
93,2060,7492,101.003
94,2049,7454,160.947
95,2023,7448,104.752
96,1969,7443,104.066
97,1913,7412,111.797
98,1873,7363,101.011
99,1824,7309,100.476
100,1745,7176,127.735
101,1654,6924,96.446
102,1570,6605,201.165
103,1481,6259,85.158
104,1371,5777,109.036
105,1243,5190,88.192
106,1110,4608,202.291
107,986,4068,56.974
108,877,3570,48.998
109,775,3148,41.682
110,681,2845,36.068
