step,size,zdd,time
0,IS,0.012487649917602539,2022benchmark-main/benchmark/handcrafted/hc-power-12.col,2022benchmark-main/benchmark/handcrafted/hc-power-12_01.dat
1,3,36,0.076
2,3,36,0.276
3,2,30,0.084
4,3,36,0.065
5,4,48,0.078
6,3,37,0.192
7,2,22,0.093
8,1,15,0.065
9,1,15,0.061
10,1,15,0.059
11,1,15,0.049
12,1,15,0.055
13,1,15,0.045
14,1,15,0.054
15,1,15,0.049
16,2,20,0.045
17,2,20,0.061
18,4,32,0.076
19,8,49,0.093
20,11,67,0.126
21,13,79,0.191
22,13,87,0.204
23,10,83,0.335
24,6,45,0.235
25,4,38,0.14
26,2,27,0.091
27,1,15,0.065
28,1,15,0.063
29,1,15,0.048
30,1,15,0.049
31,1,15,0.066
32,2,22,0.055
33,2,27,0.155
34,3,36,0.068
35,5,51,0.089
36,6,59,0.107
37,7,78,0.117
38,7,82,0.137
39,5,56,0.147
40,3,39,0.166
41,2,28,0.078
42,1,15,0.066
43,1,15,0.041
44,1,15,0.044
45,1,15,0.109
46,1,15,0.051
47,1,15,0.041
48,2,19,0.039
49,2,20,0.058
50,4,32,0.154
51,8,53,0.084
52,11,79,0.133
53,13,88,0.323
54,13,97,0.261
55,10,83,0.205
56,6,52,0.236
57,4,39,0.134
58,2,24,0.104
59,1,15,0.059
60,1,15,0.056
61,1,15,0.121
62,1,15,0.052
63,1,15,0.047
64,2,22,0.058
65,2,29,0.067
66,3,32,0.073
67,4,40,0.085
68,3,36,0.089
69,2,27,0.081
70
71,Perfect!
