step,size,zdd,time
0,IS,0.0074465274810791016,2022benchmark-main/benchmark/sp/sp003.col,2022benchmark-main/benchmark/sp/sp003_01.dat
1,3,16,0.06
2,6,25,0.082
3,8,33,0.1
4,9,41,0.133
5,12,50,0.177
6,15,56,0.281
7,16,63,0.167
8,16,63,0.218
9,17,63,0.213
10,18,68,0.192
11,18,71,0.956
12,17,68,0.221
13,15,59,0.253
14,13,49,0.306
15,12,46,0.234
16,10,46,0.217
17,7,33,0.13
18,6,25,0.145
19,6,26,0.094
20,6,27,0.079
21,6,28,0.111
22,6,28,0.102
23,6,29,0.091
24,7,35,0.164
25,8,37,0.105
26,8,35,0.125
27,8,39,0.107
28,8,40,0.099
29,8,38,0.14
30,8,37,0.113
31,7,36,0.116
32,6,29,0.17
33,6,28,0.177
34,5,25,0.091
35,3,15,0.086
36,2,10,0.065
37,2,9,0.052
38,1,6,0.063
39,1,6,0.033
40,1,6,0.032
41,1,6,0.032
42,2,8,0.056
43,2,9,0.046
44,3,14,0.045
45,4,20,0.064
46,4,18,0.069
47,4,16,0.126
48,4,18,0.065
49,4,16,0.072
50,4,18,0.06
51,4,18,0.059
52,4,19,0.067
53,4,18,0.069
54,4,19,0.068
55,3,15,0.073
56,2,10,0.052
57,2,9,0.043
58,2,10,0.059
59,3,13,0.047
60,4,15,0.055
61,4,15,0.103
62,4,16,0.066
63,4,15,0.06
64,4,14,0.098
65,4,14,0.058
66,4,14,0.057
67,4,14,0.053
68,4,15,0.053
69,4,17,0.065
70,3,14,0.066
71,2,11,0.053
72,2,8,0.047
73,2,9,0.043
74,3,16,0.052
75,4,19,0.064
76,5,22,0.072
77,6,25,0.112
78
79,Perfect!
