step,size,zdd,time
0,IS,0.05271506309509277,2022benchmark-main/benchmark/square/hc-square-004-002.col,2022benchmark-main/benchmark/square/hc-square-004-002_01.dat
1,5,45,0.088
2,10,67,0.16
3,11,86,0.213
4,9,87,3.991
5,7,68,0.273
6,5,53,1.573
7,4,40,0.149
8,4,40,0.127
9,4,44,0.121
10,5,55,0.114
11,8,66,0.163
12,11,78,0.176
13,13,106,0.199
14,13,115,0.319
15,10,93,0.27
16,6,70,0.229
17,3,42,0.174
18,2,23,0.112
19,3,41,0.067
20,5,66,0.1
21,8,90,0.142
22,13,115,0.217
23,17,147,0.282
24,19,161,0.349
25,19,169,0.948
26,17,156,0.467
27,13,141,0.345
28,11,121,0.282
29,11,109,0.497
30,12,99,0.211
31,13,123,0.213
32,13,118,0.274
33,11,107,0.245
34,9,105,0.27
35,9,118,0.227
36,11,120,0.249
37,16,149,0.253
38,23,206,0.329
39,30,272,0.998
40,36,334,0.578
41,40,385,0.666
42,39,382,0.733
43,35,347,0.972
44,31,332,0.82
45,28,297,0.908
46,27,280,1.269
47,30,274,0.827
48,34,299,0.584
49,36,328,0.577
50,36,330,0.662
51,34,325,0.634
52,30,292,0.655
53,27,270,0.623
54,29,276,1.27
55,35,315,0.596
56,43,336,1.382
57,51,394,0.705
58,55,427,0.917
59,51,405,1.011
60,43,353,0.847
61,35,310,0.762
62,29,237,0.771
63,27,190,0.635
64,30,192,0.466
65,34,228,1.117
66,36,238,0.585
67,36,247,0.624
68,34,251,0.669
69,30,246,1.228
70,27,228,0.576
71,28,258,0.542
72,31,285,2.088
73,33,294,0.615
74,34,295,0.621
75,32,279,0.624
76,26,237,0.586
77,20,177,0.47
78,17,170,0.361
79,15,163,0.325
80,14,149,0.294
81,15,155,0.272
82,16,161,0.304
83,15,157,0.347
84,13,135,0.335
85,11,112,0.322
86,8,93,0.26
87,5,69,0.188
88,5,61,0.131
89,7,72,0.135
90,8,78,0.164
91
92,Perfect!
