step,size,zdd,time
0,IS,15.901331424713135,2022benchmark-main/benchmark/square/hc-square-007-002.col,2022benchmark-main/benchmark/square/hc-square-007-002_01.dat
1,8,127,0.185
2,28,273,0.618
3,57,412,1.183
4,77,506,2.022
5,77,537,2.019
6,64,508,2.115
7,49,456,1.824
8,38,407,1.951
9,33,369,1.375
10,33,371,1.193
11,39,422,1.181
12,54,522,1.51
13,75,677,2.119
14,93,847,3.006
15,99,936,3.921
16,88,867,3.588
17,64,684,3.494
18,39,484,2.285
19,24,326,1.535
20,23,267,1.094
21,34,337,1.191
22,55,498,1.537
23,85,718,2.282
24,117,986,3.297
25,140,1236,4.487
26,148,1380,5.626
27,140,1431,6.405
28,120,1390,6.15
29,100,1260,5.572
30,91,1135,5.133
31,93,1086,4.318
32,99,1116,4.152
33,101,1158,6.26
34,94,1147,4.708
35,82,1092,4.353
36,76,1041,4.515
37,85,1066,4.727
38,112,1207,5.39
39,152,1446,5.85
40,192,1715,7.216
41,220,1937,8.666
42,230,2037,10
43,220,2023,24.052
44,197,1918,10.15
45,176,1736,9.322
46,166,1568,8.045
47,167,1472,7.189
48,178,1468,6.907
49,194,1554,7.01
50,204,1706,7.735
51,201,1799,8.471
52,186,1762,8.481
53,164,1647,7.696
54,145,1534,6.77
55,144,1504,6.178
56,171,1649,6.517
57,224,1974,7.923
58,292,2401,9.475
59,356,2872,12.014
60,395,3225,14.584
61,399,3448,17.224
62,373,3454,24.504
63,331,3326,19.421
64,293,3038,16.051
65,276,2821,14.374
66,282,2662,14.422
67,302,2619,12.993
68,325,2661,13.182
69,340,2793,14.769
70,341,2844,14.654
71,336,2844,15.028
72,338,2783,15.109
73,349,2767,16.015
74,363,2752,16.242
75,375,2722,33.431
76,379,2700,15.203
77,373,2725,14.841
78,368,2799,14.727
79,379,2996,18.678
80,413,3257,22.458
81,472,3592,24.505
82,551,3962,27.898
83,632,4424,32.096
84,688,4856,36.406
85,701,5207,40.786
86,669,5260,43.275
87,609,5137,46.987
88,550,4756,39.833
89,521,4425,36.176
90,531,4181,31.635
91,569,4230,27.747
92,614,4502,27.844
93,645,4836,30.834
94,650,5041,31.011
95,636,5114,44.916
96,620,5043,32.404
97,614,4993,32.765
98,626,5030,31.271
99,660,5223,38.594
100,707,5510,48.045
101,749,5890,36.379
102,772,6246,38.891
103,769,6438,41.057
104,743,6412,41.942
105,715,6206,41.297
106,717,6097,40.422
107,769,6149,38.98
108,871,6438,214.867
109,1012,6958,95.915
110,1172,7715,46.463
111,1318,8609,74.094
112,1421,9470,58.711
113,1470,10101,62.325
114,1469,10498,66.961
115,1433,10570,116.655
116,1390,10412,63.938
117,1363,10089,61.903
118,1357,9748,59.942
119,1365,9516,151.762
120,1379,9448,57.954
121,1391,9462,73.752
122,1399,9579,103.243
123,1412,9650,100.436
124,1443,9737,60.093
125,1497,9840,60.252
126,1569,10121,63.863
127,1648,10413,63.659
128,1721,10748,65.152
129,1780,11155,69.769
130,1828,11636,74.438
131,1874,12214,76.645
132,1922,12713,160.121
133,1969,12999,106.199
134,2009,13007,111.009
135,2035,12925,84.7
136,2049,12878,103.675
137,2073,13073,130.706
138,2133,13523,129.459
139,2236,14276,108.952
140,2367,15042,93.09
141,2497,15958,203.711
142,2588,16674,133.712
143,2616,17216,192.283
144,2587,17330,144.158
145,2527,17303,144.473
146,2461,17033,127.697
147,2412,16688,160.534
148,2397,16378,98.994
149,2416,16280,98.793
150,2453,16311,99.195
151,2493,16375,105.114
152,2525,16495,103.834
153,2537,16658,103.239
154,2526,16587,103.659
155,2508,16462,102.683
156,2502,16327,131.584
157,2513,16254,102.945
158,2540,16178,103.478
159,2580,16238,154.77
160,2618,16348,105.761
161,2638,16401,104.74
162,2642,16392,106.669
163,2639,16440,632.365
164,2631,16520,115.63
165,2623,16372,111.108
166,2623,16181,119.053
167,2624,15918,209.322
168,2606,15793,112.092
169,2559,15633,110.857
170,2489,15416,107.181
171,2409,15039,105.134
172,2337,14488,102.835
173,2292,13924,97.148
174,2274,13480,96.102
175,2261,13167,92.811
176,2234,12896,92.32
177,2193,12709,89.47
178,2145,12592,87.322
179,2097,12427,86.299
180,2061,12316,84.669
181,2044,12248,83.095
182,2034,12348,83.122
183,2015,12384,82.613
184,1985,12296,80.902
185,1943,12077,82.795
186,1882,11822,76.621
187,1809,11515,71.247
188,1744,11204,70.959
189,1695,10930,67.991
190,1658,10733,80.619
191,1630,10520,64.913
192,1601,10384,64.277
193,1553,10361,63.003
194,1483,10284,61.239
195,1408,10128,59.641
196,1341,9925,57.713
197,1282,9702,106.042
198,1232,9486,53.953
199,1193,9378,49.67
200,1155,9256,47.693
201,1105,8993,45.92
202,1045,8558,44.031
203,985,8107,41.387
204,929,7691,90.979
205,882,7234,35.575
206,854,6800,34.603
207,843,6434,33.144
208,831,6200,35.833
209,806,6007,31.323
210,769,5785,30.068
211,719,5461,29.055
212,657,4979,26.533
213,599,4421,24.309
214,558,3910,21.088
215,526,3509,19.631
216,493,3180,17.443
217,461,2901,16.208
218,429,2694,14.473
219,391,2494,13.118
220,352,2258,13.652
221,324,2019,11.31
222,309,1843,9.703
223,300,1720,9.111
224,291,1587,8.864
225,276,1488,9.053
226,248,1382,12.529
227,209,1235,8.949
228,172,1070,6.931
229,146,921,5.241
230,129,831,4.732
231,119,763,4.212
232,118,699,3.628
233,122,682,3.353
234,121,702,3.323
235,111,681,3.391
236,95,588,3.065
237,75,475,2.52
238,55,394,1.962
239,45,343,1.454
240,49,305,1.24
241
242,Perfect!
